Column 1,docket,title
https://caselaw.findlaw.com/us-supreme-court/15-108.html,No. 15-108,COMMONWEALTH OF PUERTO RICO v. SANCHEZ VALLE ET AL. 
https://caselaw.findlaw.com/us-supreme-court/14-614.html,No. 14-614,"HUGHES, CHAIRMAN, MARYLAND PUBLIC SERVICE COMMISION, ET AL. v. TALEN ENERGY MARKETING, LLC, FKA PPL ENERGYPLUS, LLC, ET AL. "
https://caselaw.findlaw.com/us-supreme-court/15-138.html,No. 15-138,"RJR NABISCO, INC., ET AL. v. EUROPEAN COMMUNITY ET AL. "
https://caselaw.findlaw.com/us-supreme-court/14-1457.html,No. 14-1457,BETTERMAN v. MONTANA 
https://caselaw.findlaw.com/us-supreme-court/15-338.html,No. 15-338,SHERIFF ET AL. v. GILLIE ET AL. 
https://caselaw.findlaw.com/us-supreme-court/15-290.html,No. 15-290,"UNITED STATES ARMY CORPS OF ENGINEERS v. HAWKES CO., INC., ET AL. "
https://caselaw.findlaw.com/us-supreme-court/15-420.html,No. 15-420,UNITED STATES v. BRYANT 
https://caselaw.findlaw.com/us-supreme-court/15-415.html,No. 15-415,"ENCINO MOTORCARS, LLC v. NAVARRO ET AL. "
https://caselaw.findlaw.com/us-supreme-court/15-7250.html,No. 15-7250,MANRIQUE v. UNITED STATES 
https://caselaw.findlaw.com/us-supreme-court/15-866.html,No. 15-866,"STAR ATHLETICA, L.L.C. v. VARSITY BRANDS, INC., ET AL. "
https://caselaw.findlaw.com/us-supreme-court/15-1191.html,No. 15-1191,"SESSIONS, ATTORNEY GENERAL v. MORALES-SANTANA "
https://caselaw.findlaw.com/us-supreme-court/15-537.html,No. 15-537,BRAVO-FERNANDEZ ET AL. v. UNITED STATES 
https://caselaw.findlaw.com/us-supreme-court/15-8544.html,No. 15-8544,BECKLES v. UNITED STATES 
https://caselaw.findlaw.com/us-supreme-court/15-797.html,No. 15-797,MOORE v. TEXAS 
https://caselaw.findlaw.com/us-supreme-court/15-1256.html,No. 15-1256,NELSON v. COLORADO 
https://caselaw.findlaw.com/us-supreme-court/15-1500.html,No. 15-1500,LEWIS ET AL. v. CLARKE 
https://caselaw.findlaw.com/us-supreme-court/15-1248.html,No. 15-1248,"MCLANE CO., INC. v. EQUAL EMPLOYMENT OPPORTUNITY COMMISSION "
https://caselaw.findlaw.com/us-supreme-court/16-149.html,No. 16-149,"COVENTRY HEALTH CARE OF MISSOURI, INC., FKA GROUP HEALTH PLAN, INC. v. NEVILS "
https://caselaw.findlaw.com/us-supreme-court/16-67.html,No. 16-67,"RAY WHITE, ET AL. v. DANIEL T. PAULY, AS PERSONAL REPRESENTATIVE OF THE ESTATE OF SAMUEL PAULY, DECEASED ET AL. "
https://caselaw.findlaw.com/us-supreme-court/15-457.html,No. 15-457,MICROSOFT CORP. v. BAKER ET AL. 
https://caselaw.findlaw.com/us-supreme-court/15-1189.html,No. 15-1189,"IMPRESSION PRODUCTS, INC. v. LEXMARK INTERNATIONAL, INC. "
https://caselaw.findlaw.com/us-supreme-court/16-373.html,No. 16-373,"CALIFORNIA PUBLIC EMPLOYEES' RETIREMENT SYSTEM v. ANZ SECURITIES, INC., ET AL. "
https://caselaw.findlaw.com/us-supreme-court/16-405.html,No. 16-405,"BNSF RAILWAY CO. v. TYRRELL, SPECIAL ADMINISTRATOR FOR THE ESTATE OF TYRRELL, DECEASED, ET AL. "
https://caselaw.findlaw.com/us-supreme-court/16-1177.html,No. 16-1177,"VIRGINIA, ET AL. v. DENNIS LEBLANC "
https://caselaw.findlaw.com/us-supreme-court/16-285.html,No. 16-285,EPIC SYSTEMS CORP. v. LEWIS 
https://caselaw.findlaw.com/us-supreme-court/15-1485.html,No. 15-1485,DISTRICT OF COLUMBIA ET AL. v. WESBY ET AL. 
https://caselaw.findlaw.com/us-supreme-court/16-658.html,No. 16-658,HAMER v. NEIGHBORHOOD HOUSING SERVICES OF CHICAGO ET AL. 
https://caselaw.findlaw.com/us-supreme-court/16-460.html,No. 16-460,ARTIS v. DISTRICT OF COLUMBIA 
https://caselaw.findlaw.com/us-supreme-court/16-498.html,No. 16-498,"PATCHAK v. ZINKE, SECRETARY OF THE INTERIOR, ET AL. "
https://caselaw.findlaw.com/us-supreme-court/16-111.html,No. 16-111,"MASTERPIECE CAKESHOP, LTD., ET AL. v. COLORADO CIVIL RIGHTS COMMISSION ET AL. "
https://caselaw.findlaw.com/us-supreme-court/16-969.html,No. 16-969,"SAS INSTITUTE INC. v. IANCU, DIRECTOR, UNITED STATES PATENT AND TRADEMARK OFFICE, ET AL. "
https://caselaw.findlaw.com/us-supreme-court/16-1276.html,No. 16-1276,"DIGITAL REALTY TRUST, INC. v. SOMERS "
https://caselaw.findlaw.com/us-supreme-court/17-193.html,No. 17-193,"JEFFERSON DUNN, COMMISSIONER, ALABAMA DEPARTMENT OF CORRECTIONS v. VERNON MADISON "
https://caselaw.findlaw.com/us-supreme-court/16-8255.html,No. 16-8255,MCCOY v. LOUISIANA 
https://caselaw.findlaw.com/us-supreme-court/16-1362.html,No. 16-1362,"ENCINO MOTORCARS, LLC v. NAVARRO ET AL. "
https://caselaw.findlaw.com/us-supreme-court/16-1348.html,No. 16-1348,CURRIER v. VIRGINIA 
https://caselaw.findlaw.com/us-supreme-court/17-432.html,No. 17-432,"CHINA AGRITECH, INC. v. RESH ET AL. "
https://caselaw.findlaw.com/us-supreme-court/16-1220.html,No. 16-1220,"ANIMAL SCIENCE PRODUCTS, INC., ET AL. v. HEBEI WELCOME PHARMACEUTICAL CO. LTD. ET AL. "
https://caselaw.findlaw.com/us-supreme-court/17-587.html,No. 17-587,MOUNT LEMMON FIRE DISTRICT v. GUIDO ET AL. 
https://caselaw.findlaw.com/us-supreme-court/17-340.html,No. 17-340,NEW PRIME INC. v. OLIVEIRA 
https://caselaw.findlaw.com/us-supreme-court/17-988.html,No. 17-988,"LAMPS PLUS, INC., ET AL. v. VARELA "
https://caselaw.findlaw.com/us-supreme-court/16-1275.html,No. 16-1275,"VIRGINIA URANIUM, INC., ET AL. v. WARREN ET AL. "
https://caselaw.findlaw.com/us-supreme-court/17-1042.html,No. 17-1042,BNSF RAILWAY CO. v. LOOS 
https://caselaw.findlaw.com/us-supreme-court/17-571.html,No. 17-571,"FOURTH ESTATE PUBLIC BENEFIT CORP. v. WALL-STREET.COM, LLC, ET AL. "
https://caselaw.findlaw.com/us-supreme-court/17-646.html,No. 17-646,GAMBLE v. UNITED STATES 
https://caselaw.findlaw.com/us-supreme-court/17-1091.html,No. 17-1091,TIMBS v. INDIANA 
https://caselaw.findlaw.com/us-supreme-court/17-1174.html,No. 17-1174,NIEVES ET AL. v. BARTLETT 
https://caselaw.findlaw.com/us-supreme-court/17-1717.html,No. 17-1717,AMERICAN LEGION ET AL. v. AMERICAN HUMANIST ASSN. ET AL. 
https://caselaw.findlaw.com/us-supreme-court/18-281.html,No. 18-281,VIRGINIA HOUSE OF DELEGATES ET AL. v. BETHUNE-HILL ET AL. 
https://caselaw.findlaw.com/us-supreme-court/18-525.html,No. 18-525,"FORT BEND COUNTY, TEXAS v. DAVIS "
https://caselaw.findlaw.com/us-supreme-court/18-483.html,No. 18-483,"KRISTINA BOX, COMMISSIONER, INDIANA DEPARTMENT OF HEALTH, ET AL. v. PLANNED PARENTHOOD OF INDIANA AND KENTUCKY, INC., ET AL. "
